"","dt-time","Activity","Immediate.Spread","Focal","Subgroup"
"947",2015-06-23 13:15:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"948",2015-06-23 13:30:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"949",2015-06-23 13:45:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"950",2015-06-23 14:00:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"951",2015-06-23 14:15:00,"IFV/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"952",2015-06-23 14:30:00,"MOVING/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"953",2015-06-23 14:45:00,"MOVING/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"954",2015-06-23 15:00:00,"RESTING/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"955",2015-06-23 15:15:00,"RESTING/","UNK/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"956",2015-06-23 15:30:00,"FORAGING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"957",2015-06-23 15:45:00,"FORAGING/RESTING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"958",2015-06-23 16:00:00,"FORAGING/RESTING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"959",2015-06-23 16:15:00,"FORAGING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"960",2015-06-23 16:30:00,"MOVING/FORAGING/","<100/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"961",2015-06-23 16:45:00,"FORAGING/MOVING/","<75/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"962",2015-06-23 17:00:00,"FORAGING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
"963",2015-06-23 17:15:00,"FORAGING/","<50/","DAS","DUK/DIY/DIT/OLV/OLI/DAH/DAN/"
