"","Focal","Subgroup","Interaction","dyad"
"166","DIG","DRE",0.104651163,"DIG_DRE"
"167","DIT","DRE",0.027479893,"DIT_DRE"
"168","DIY","DRE",0.003706449,"DIY_DRE"
"169","DLF","DRE",0.03170577,"DLF_DRE"
"170","DLL","DRE",0.033156499,"DLL_DRE"
"171","DOC","DRE",0.039119804,"DOC_DRE"
"172","DUK","DRE",0.040831477,"DUK_DRE"
"173","OLI","DRE",0.027586207,"OLI_DRE"
"174","OLV","DRE",0.030449827,"OLV_DRE"
"175","DAN","DSY",0.496525584,"DAN_DSY"
"176","DAO","DSY",0.588850174,"DAO_DSY"
"177","DAR","DSY",0.523168909,"DAR_DSY"
"178","DAS","DSY",0.259715026,"DAS_DSY"
"179","DAX","DSY",0.691696113,"DAX_DSY"
"180","DIT","DSY",0.464044253,"DIT_DSY"
"181","DIY","DSY",0.479516454,"DIY_DSY"
"182","DLF","DSY",0.511599512,"DLF_DSY"
"183","DLL","DSY",0.512884978,"DLL_DSY"
"184","DOC","DSY",0.374757282,"DOC_DSY"
"185","DUK","DSY",0.568641115,"DUK_DSY"
"186","OLI","DSY",0.494294294,"OLI_DSY"
"187","OLV","DSY",0.508387097,"OLV_DSY"
"188","DAN","DUK",0.700061463,"DAN_DUK"
"189","DAO","DUK",0.738311688,"DAO_DUK"
"190","DAR","DUK",0.4511323,"DAR_DUK"
"191","DAS","DUK",0.439459127,"DAS_DUK"
"192","DAX","DUK",0.495472186,"DAX_DUK"
"193","DIG","DUK",0.068387997,"DIG_DUK"
"194","DIT","DUK",0.654166667,"DIT_DUK"
"195","DIY","DUK",0.59803319,"DIY_DUK"
"196","DLF","DUK",0.640776699,"DLF_DUK"
"197","DLL","DUK",0.61427749,"DLL_DUK"
"198","DOC","DUK",0.453863899,"DOC_DUK"
"199","DRE","DUK",0.040831477,"DRE_DUK"
"200","DSY","DUK",0.568641115,"DSY_DUK"
"201","OLI","DUK",0.654243119,"OLI_DUK"
"202","OLV","DUK",0.640671866,"OLV_DUK"
"203","DAN","OLI",0.78113879,"DAN_OLI"
"204","DAO","OLI",0.680507497,"DAO_OLI"
"205","DAR","OLI",0.495243425,"DAR_OLI"
"206","DAS","OLI",0.467842914,"DAS_OLI"
"207","DAX","OLI",0.499411765,"DAX_OLI"
"208","DIG","OLI",0.10846395,"DIG_OLI"
"209","DIT","OLI",0.749419954,"DIT_OLI"
"210","DIY","OLI",0.708007225,"DIY_OLI"
"211","DLF","OLI",0.725860155,"DLF_OLI"
"212","DLL","OLI",0.70555244,"DLL_OLI"
"213","DOC","OLI",0.529672768,"DOC_OLI"
"214","DRE","OLI",0.027586207,"DRE_OLI"
"215","DSY","OLI",0.494294294,"DSY_OLI"
"216","DUK","OLI",0.654243119,"DUK_OLI"
"217","OLV","OLI",0.90268886,"OLV_OLI"
"218","DAN","OLV",0.776463263,"DAN_OLV"
"219","DAO","OLV",0.648181276,"DAO_OLV"
"220","DAR","OLV",0.519277108,"DAR_OLV"
"221","DAS","OLV",0.44928401,"DAS_OLV"
"222","DAX","OLV",0.509754563,"DAX_OLV"
"223","DIG","OLV",0.092505064,"DIG_OLV"
"224","DIT","OLV",0.673088149,"DIT_OLV"
"225","DIY","OLV",0.635423007,"DIY_OLV"
"226","DLF","OLV",0.701149425,"DLF_OLV"
"227","DLL","OLV",0.684731935,"DLL_OLV"
"228","DOC","OLV",0.512761021,"DOC_OLV"
"229","DRE","OLV",0.030449827,"DRE_OLV"
"230","DSY","OLV",0.508387097,"DSY_OLV"
"231","DUK","OLV",0.640671866,"DUK_OLV"
"232","OLI","OLV",0.90268886,"OLI_OLV"
