"","Date","Month","Year","Focal","Subgroup","timePeriod"
"107",2014-08-07,"August",2014,"DIG","DOO/DOC/DUK/",1
"108",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"109",2014-08-07,"August",2014,"DIG","DOO/DOC/DUK/",1
"110",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"111",2014-08-07,"August",2014,"DIG","DOO/DOC/DLL/DLF/",1
"112",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"113",2014-08-07,"August",2014,"DIG","DOO/DOC/DLL/DLF/",1
"114",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"115",2014-08-07,"August",2014,"DIG","DOO/DOC/DLL/DLF/",1
"116",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"117",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"118",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"119",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"120",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"121",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"122",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"123",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"124",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"125",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"126",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"127",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"128",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"129",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"130",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"131",2014-08-07,"August",2014,"AM","AFD/I1/AFD/JF1/AFD/JF2/SM/SF/AM/AF/",1
"132",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"133",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"134",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"135",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"136",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"137",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"138",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"139",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"140",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DIG/DOC/DAS/AM/",1
"141",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"142",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"143",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"144",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"145",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"146",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"147",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"148",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"149",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"150",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"151",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/",1
"152",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/DAO/DUK/SF/",1
"153",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/DAO/DUK/SF/",1
"154",2014-08-08,"August",2014,"OLV","OLI/DEL/DEV/DIY/DIT/DLL/DLF/DAH/DAN/DAS/DIG/DOC/DIC/DOO/DAO/DUK/SF/",1
